epoch,train_loss,step,lr-Adam
,,0,0.001
0,1.4103341102600098,49,
0,1.3699125051498413,99,
0,1.3974635601043701,149,
0,1.3789855241775513,199,
0,1.337302327156067,249,
0,1.4024773836135864,299,
0,1.4417558908462524,349,
0,1.4091180562973022,399,
0,1.3955016136169434,449,
0,1.398558497428894,499,
0,1.4141342639923096,549,
0,1.4016315937042236,599,
0,1.460452675819397,649,
0,1.3851333856582642,699,
0,1.3821806907653809,749,
0,1.3877257108688354,799,
0,1.3841633796691895,849,
0,1.3982434272766113,899,
0,1.4109629392623901,949,
0,1.376245141029358,999,
0,1.3891417980194092,1049,
0,1.3940093517303467,1099,
0,1.3878538608551025,1149,
0,1.3894453048706055,1199,
0,1.3890577554702759,1249,
0,1.3826231956481934,1299,
0,1.3805220127105713,1349,
0,1.388349175453186,1399,
0,1.3862839937210083,1449,
0,1.3753334283828735,1499,
0,1.3429194688796997,1549,
0,1.3821260929107666,1599,
0,1.379265546798706,1649,
0,1.4050805568695068,1699,
0,1.3749042749404907,1749,
0,1.3946828842163086,1799,
0,1.3917529582977295,1849,
0,1.383947491645813,1899,
0,1.3983039855957031,1949,
0,1.4012221097946167,1999,
0,1.4001165628433228,2049,
0,1.387921690940857,2099,
0,1.3858643770217896,2149,
0,1.3786017894744873,2199,
0,1.3868268728256226,2249,
,,2290,0.001
1,1.3876714706420898,2299,
1,1.389367938041687,2349,
1,1.3841646909713745,2399,
1,1.3858908414840698,2449,
1,1.3847613334655762,2499,
1,1.3828810453414917,2549,
1,1.3896098136901855,2599,
1,1.3819472789764404,2649,
1,1.3902121782302856,2699,
1,1.387558102607727,2749,
1,1.3818928003311157,2799,
1,1.3857088088989258,2849,
1,1.3716487884521484,2899,
1,1.396999716758728,2949,
1,1.3805285692214966,2999,
1,1.390064001083374,3049,
1,1.388644814491272,3099,
1,1.3880209922790527,3149,
1,1.391277551651001,3199,
1,1.3822221755981445,3249,
1,1.3955016136169434,3299,
1,1.3744404315948486,3349,
1,1.3982086181640625,3399,
1,1.3834469318389893,3449,
1,1.3788925409317017,3499,
1,1.371145486831665,3549,
1,1.3919743299484253,3599,
1,1.3858437538146973,3649,
1,1.3825985193252563,3699,
1,1.4026211500167847,3749,
1,1.3754081726074219,3799,
1,1.3721034526824951,3849,
1,1.4034404754638672,3899,
1,1.4020224809646606,3949,
1,1.3858578205108643,3999,
1,1.3902908563613892,4049,
1,1.382919430732727,4099,
1,1.4136881828308105,4149,
1,1.3847380876541138,4199,
1,1.3886572122573853,4249,
1,1.3716260194778442,4299,
1,1.3916103839874268,4349,
1,1.396744728088379,4399,
1,1.3910185098648071,4449,
1,1.4280368089675903,4499,
1,1.3859935998916626,4549,
,,4580,0.001
2,1.5017039775848389,4599,
2,1.390490174293518,4649,
2,1.3485071659088135,4699,
2,1.365318775177002,4749,
2,1.4079234600067139,4799,
2,1.3748860359191895,4849,
2,1.3541640043258667,4899,
2,1.3497110605239868,4949,
2,1.3712730407714844,4999,
