step,epoch,train_loss,lr-Adam
0,,,0.001
49,0,1.4283411502838135,
99,0,1.376389503479004,
149,0,1.3785792589187622,
199,0,1.4058074951171875,
249,0,1.4632363319396973,
299,0,1.3759130239486694,
349,0,1.3775789737701416,
399,0,1.3964546918869019,
449,0,1.3729248046875,
499,0,1.381719708442688,
549,0,1.4147597551345825,
